timestamp,user_id,product_id,hour,day_of_week,is_weekend,interaction_score,day,weekday,evt_add_to_cart,evt_click,evt_purchase,evt_view,user_total_score,user_avg_score,unique_products_viewed,product_view_count,label_purchase
2025-12-05 07:10:40,1004,50,7,4,0,3,5,4,True,False,False,False,961,1.9532520325203253,50,90,0
2025-12-03 05:53:40,1003,37,5,2,0,2,3,2,False,True,False,False,941,1.8523622047244095,50,106,0
2025-12-07 06:08:40,1001,12,6,6,1,1,7,6,False,False,False,True,966,1.861271676300578,50,94,0
2025-12-01 21:20:40,1016,44,21,0,0,3,1,0,True,False,False,False,948,1.9268292682926829,50,103,0
2025-12-06 09:52:40,1003,25,9,5,1,1,6,5,False,False,False,True,941,1.8523622047244095,50,102,0
2025-12-05 08:10:40,1017,17,8,4,0,2,5,4,False,True,False,False,892,1.8739495798319328,50,107,0
2025-12-07 04:41:40,1013,1,4,6,1,3,7,6,True,False,False,False,934,1.9218106995884774,50,102,0
2025-12-01 01:08:40,1020,35,1,0,0,1,1,0,False,False,False,True,934,1.9139344262295082,50,102,0
2025-12-02 08:00:40,1006,25,8,1,0,2,2,1,False,True,False,False,922,1.8626262626262626,50,102,0
2025-12-02 19:43:40,1010,30,19,1,0,2,2,1,False,True,False,False,1023,1.9229323308270676,50,115,0
2025-12-04 05:36:40,1001,27,5,3,0,1,4,3,False,False,False,True,966,1.861271676300578,50,92,0
2025-12-01 23:30:40,1011,32,23,0,0,1,1,0,False,False,False,True,925,1.824457593688363,50,107,0
2025-12-07 02:00:40,1012,49,2,6,1,1,7,6,False,False,False,True,860,1.894273127753304,50,83,0
2025-12-06 06:45:40,1002,46,6,5,1,3,6,5,True,False,False,False,959,1.8915187376725837,50,114,0
2025-12-06 10:47:40,1002,10,10,5,1,1,6,5,False,False,False,True,959,1.8915187376725837,50,118,0
2025-12-02 16:16:40,1014,50,16,1,0,2,2,1,False,True,False,False,978,1.8771593090211132,50,90,0
2025-12-07 05:06:40,1018,14,5,6,1,2,7,6,False,True,False,False,1032,1.8970588235294117,50,103,0
2025-12-02 04:17:40,1018,44,4,1,0,1,2,1,False,False,False,True,1032,1.8970588235294117,50,103,0
2025-12-01 08:04:40,1014,7,8,0,0,1,1,0,False,False,False,True,978,1.8771593090211132,50,96,0
2025-12-05 05:51:40,1012,24,5,4,0,1,5,4,False,False,False,True,860,1.894273127753304,50,101,0
2025-12-07 10:53:40,1017,5,10,6,1,2,7,6,False,True,False,False,892,1.8739495798319328,50,85,0
2025-12-04 22:08:40,1007,13,22,3,0,1,4,3,False,False,False,True,856,1.8329764453961457,50,104,0
2025-12-04 05:11:40,1014,3,5,3,0,1,4,3,False,False,False,True,978,1.8771593090211132,50,115,0
2025-12-03 10:33:40,1007,45,10,2,0,4,3,2,False,False,True,False,856,1.8329764453961457,50,70,1
2025-12-06 18:53:40,1015,36,18,5,1,4,6,5,False,False,True,False,1037,1.9827915869980879,50,86,1
2025-12-02 09:56:40,1020,6,9,1,0,1,2,1,False,False,False,True,934,1.9139344262295082,50,104,0
2025-12-05 19:05:40,1002,15,19,4,0,2,5,4,False,True,False,False,959,1.8915187376725837,50,120,0
2025-12-02 03:59:40,1014,3,3,1,0,1,2,1,False,False,False,True,978,1.8771593090211132,50,115,0
2025-12-06 14:17:40,1005,25,14,5,1,1,6,5,False,False,False,True,973,1.8893203883495147,50,102,0
2025-12-01 09:28:40,1019,13,9,0,0,1,1,0,False,False,False,True,963,1.8956692913385826,50,104,0
2025-12-04 09:42:40,1016,8,9,3,0,1,4,3,False,False,False,True,948,1.9268292682926829,50,93,0
2025-12-02 09:52:40,1005,11,9,1,0,2,2,1,False,True,False,False,973,1.8893203883495147,50,103,0
2025-12-06 20:41:40,1006,36,20,5,1,3,6,5,True,False,False,False,922,1.8626262626262626,50,86,0
